solver_name,file_key,repeats,solved_repeats,stable_solved,time_mean,time_min,time_max,results
march,3sat_71.cnf,1,1,True,36.8101113718003,36.8101113718003,36.8101113718003,UNSATISFIABLE
march,3sat_72.cnf,1,1,True,62.13824393413961,62.13824393413961,62.13824393413961,UNSATISFIABLE
march,3sat_73.cnf,1,1,True,49.04771070368588,49.04771070368588,49.04771070368588,UNSATISFIABLE
march,3sat_74.cnf,1,1,True,31.12307081790641,31.12307081790641,31.12307081790641,SATISFIABLE
march,3sat_75.cnf,1,1,True,25.651976419147104,25.651976419147104,25.651976419147104,UNSATISFIABLE
march,3sat_76.cnf,1,1,True,27.3614089069888,27.3614089069888,27.3614089069888,SATISFIABLE
march,3sat_77.cnf,1,1,True,38.41046734293923,38.41046734293923,38.41046734293923,UNSATISFIABLE
march,3sat_78.cnf,1,1,True,34.78931536292657,34.78931536292657,34.78931536292657,UNSATISFIABLE
march,3sat_79.cnf,1,1,True,26.08189987204969,26.08189987204969,26.08189987204969,UNSATISFIABLE
march,3sat_8.cnf,1,1,True,46.534180735237896,46.534180735237896,46.534180735237896,UNSATISFIABLE
march,3sat_80.cnf,1,1,True,42.40741385985166,42.40741385985166,42.40741385985166,UNSATISFIABLE
march,3sat_81.cnf,1,1,True,21.678526241797957,21.678526241797957,21.678526241797957,UNSATISFIABLE
march,3sat_82.cnf,1,1,True,34.27513113198802,34.27513113198802,34.27513113198802,SATISFIABLE
march,3sat_83.cnf,1,1,True,32.4908831291832,32.4908831291832,32.4908831291832,UNSATISFIABLE
march,3sat_84.cnf,1,1,True,0.930112258065492,0.930112258065492,0.930112258065492,SATISFIABLE
march,3sat_85.cnf,1,1,True,12.683943973854184,12.683943973854184,12.683943973854184,SATISFIABLE
march,3sat_86.cnf,1,1,True,3.109636449255049,3.109636449255049,3.109636449255049,SATISFIABLE
march,3sat_87.cnf,1,1,True,28.579476695973423,28.579476695973423,28.579476695973423,UNSATISFIABLE
march,3sat_88.cnf,1,1,True,0.5497549613937736,0.5497549613937736,0.5497549613937736,SATISFIABLE
march,3sat_89.cnf,1,1,True,40.32048365380615,40.32048365380615,40.32048365380615,SATISFIABLE
march,3sat_9.cnf,1,1,True,31.92129012010992,31.92129012010992,31.92129012010992,UNSATISFIABLE
march,3sat_90.cnf,1,1,True,34.87471728026867,34.87471728026867,34.87471728026867,SATISFIABLE
march,3sat_91.cnf,1,1,True,3.6713991360738873,3.6713991360738873,3.6713991360738873,SATISFIABLE
march,3sat_92.cnf,1,1,True,29.892631703056395,29.892631703056395,29.892631703056395,SATISFIABLE
march,3sat_93.cnf,1,1,True,0.1119315861724317,0.1119315861724317,0.1119315861724317,SATISFIABLE
march,3sat_94.cnf,1,1,True,0.4319537747651338,0.4319537747651338,0.4319537747651338,SATISFIABLE
march,3sat_95.cnf,1,1,True,33.18291913392022,33.18291913392022,33.18291913392022,UNSATISFIABLE
march,3sat_96.cnf,1,1,True,0.405734586995095,0.405734586995095,0.405734586995095,SATISFIABLE
march,3sat_97.cnf,1,1,True,0.2878679023124277,0.2878679023124277,0.2878679023124277,SATISFIABLE
march,3sat_98.cnf,1,1,True,43.79062288906425,43.79062288906425,43.79062288906425,UNSATISFIABLE
march,3sat_99.cnf,1,1,True,24.409841453190893,24.409841453190893,24.409841453190893,UNSATISFIABLE
